ID,subset,title,sentence,relevant,cluster,skill
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,What's Under the Hood,False,,
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,organization is the largest privately owned used car sales finance & servicing company in the nation.,False,,
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"Headquartered in location and location, we create opportunities and improve the lives of our customers and our employees by placing a focus on putting the right customer, in the right vehicle, on the right terms and on their path to ownership.",False,,
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"You can find organization's tire tracks across the nation with dealerships where we embrace a transparent pricing approach, eliminating haggling and gimmicks and reconditioning centers where we breathe new life into pre-owned vehicles.",False,,
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"Regardless of where you're located, if you've got DRIVE and you're looking to make an impact, we'd love for you to make a difference with us!",False,,
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"That's Nice, But What's the Job?",False,,
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"As a Customer Sales Guide you will use a team-based approach to ensure a one-of-a-kind sales experience for our customers, helping them navigate the path to vehicle ownership at the dealership.",True,1,work in teams
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"As a Customer Sales Guide you will use a team-based approach to ensure a one-of-a-kind sales experience for our customers, helping them navigate the path to vehicle ownership at the dealership.",True,1,teamwork principles
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"As a Customer Sales Guide you will use a team-based approach to ensure a one-of-a-kind sales experience for our customers, helping them navigate the path to vehicle ownership at the dealership.",True,2,manage the customer experience
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"As a Customer Sales Guide you will use a team-based approach to ensure a one-of-a-kind sales experience for our customers, helping them navigate the path to vehicle ownership at the dealership.",True,3,sell vehicles
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"As a Customer Sales Guide you will use a team-based approach to ensure a one-of-a-kind sales experience for our customers, helping them navigate the path to vehicle ownership at the dealership.",True,3,advise customers on motor vehicles
f066ce33-2de4-4e49-8bf0-d04c49a6977f,RANDOM,Customer Sales Guide,"And while your ultimate responsibility is to sell vehicles, you will accomplish this goal by building relationships and providing outstanding sales & service to our customers through the entire process.",True,1,sell vehicles
